Schoolid,studentid,sex,race,timeonmath,schooltype,ses,parented,mathscore,classstruct,schoolsize,urbanicity,geography,percentminority,stuteachratio
7472,3,2,4,1,public,-0.13,2,48,2,3,2,2,0,19 
7472,8,1,4,0,public,-0.39,2,48,2,3,2,2,0,19 
7472,13,1,4,0,public,-0.8,2,53,2,3,2,2,0,19 
7472,17,1,4,1,public,-0.72,2,42,2,3,2,2,0,19 
7472,27,2,4,2,public,-0.74,2,43,2,3,2,2,0,19 
7472,28,2,4,1,public,-0.58,2,57,2,3,2,2,0,19 
7472,30,2,4,5,public,-0.83,2,33,2,3,2,2,0,19 
7472,36,1,4,1,public,-0.51,3,64,2,3,2,2,0,19 
7472,37,2,4,1,public,-0.56,2,36,2,3,2,2,0,19 
7472,42,2,4,2,public,0.21,3,56,2,3,2,2,0,19 
7472,52,2,4,1,public,-0.7,2,48,2,3,2,2,0,19 
7472,53,1,4,1,public,-0.19,3,48,2,3,2,2,0,19 
7472,61,1,4,1,public,-1.34,2,44,2,3,2,2,0,19 
7472,64,2,4,2,public,-1.58,1,35,2,3,2,2,0,19 
7472,72,2,4,1,public,-0.05,2,50,2,3,2,2,0,19 
7472,83,2,4,4,public,-0.5,3,36,2,3,2,2,0,19 
7472,84,2,4,1,public,-0.26,3,47,2,3,2,2,0,19 
7472,85,2,4,2,public,-0.94,1,41,2,3,2,2,0,19 
7472,88,2,4,1,public,-0.46,3,42,2,3,2,2,0,19 
7472,93,1,4,1,public,-0.39,3,49,2,3,2,2,0,19 
7472,94,2,4,1,public,0.58,3,39,2,3,2,2,0,19 
7472,96,1,4,1,public,0.48,3,45,2,3,2,2,0,19 
7472,99,2,4,1,public,-0.7,3,48,2,3,2,2,0,19 
7829,0,2,3,2,public,-1.24,3,58,5,3,1,2,7,18 
7829,15,1,3,2,public,-1.54,2,43,5,3,1,2,7,18 
7829,17,1,3,1,public,-1.06,1,49,5,3,1,2,7,18 
7829,20,1,3,1,public,-0.02,3,42,5,3,1,2,7,18 
7829,24,2,3,5,public,-1.63,1,35,5,3,1,2,7,18 
7829,25,1,3,2,public,-0.39,2,38,5,3,1,2,7,18 
7829,29,1,3,1,public,-1.07,1,35,5,3,1,2,7,18 
7829,31,1,3,4,public,-0.02,3,42,5,3,1,2,7,18 
7829,34,1,3,4,public,0.11,4,41,5,3,1,2,7,18 
7829,38,1,2,3,public,0.13,3,31,5,3,1,2,7,18 
7829,44,1,3,2,public,-1.67,1,41,5,3,1,2,7,18 
7829,54,2,3,1,public,-1.64,1,32,5,3,1,2,7,18 
7829,62,1,3,0,public,-1.01,3,65,5,3,1,2,7,18 
7829,65,2,3,1,public,-1.01,3,50,5,3,1,2,7,18 
7829,66,1,3,3,public,-1.16,1,37,5,3,1,2,7,18 
7829,68,1,3,3,public,-0.29,3,44,5,3,1,2,7,18 
7829,81,2,3,3,public,-1.29,1,44,5,3,1,2,7,18 
7829,91,1,3,2,public,0.03,3,41,5,3,1,2,7,18 
7829,93,2,3,3,public,-1.09,2,39,5,3,1,2,7,18 
7829,98,2,3,4,public,-1.1,1,36,5,3,1,2,7,18 
7930,3,2,4,4,public,0.98,4,65,4,6,3,2,1,14 
7930,8,1,4,3,public,0.24,3,62,4,6,3,2,1,14 
7930,11,2,1,1,public,0.35,4,44,4,6,3,2,1,14 
7930,16,1,4,4,public,0.65,5,63,4,6,3,2,1,14 
7930,21,2,4,2,public,-0.03,3,43,4,6,3,2,1,14 
7930,24,2,4,4,public,0.39,3,68,4,6,3,2,1,14 
7930,26,1,4,1,public,-0.19,3,50,4,6,3,2,1,14 
7930,34,1,4,2,public,-0.76,3,57,4,6,3,2,1,14 
7930,43,2,4,1,public,-0.11,3,53,4,6,3,2,1,14 
7930,52,1,4,1,public,1.21,6,48,4,6,3,2,1,14 
7930,53,2,1,2,public,-1.85,1,53,4,6,3,2,1,14 
7930,57,1,4,1,public,-0.9,2,47,4,6,3,2,1,14 
7930,59,1,4,0,public,-0.87,2,36,4,6,3,2,1,14 
7930,61,2,4,1,public,1.33,5,52,4,6,3,2,1,14 
7930,63,2,4,3,public,1.48,6,70,4,6,3,2,1,14 
7930,64,2,1,2,public,-0.76,3,51,4,6,3,2,1,14 
7930,65,1,4,2,public,0.63,3,67,4,6,3,2,1,14 
7930,68,1,4,1,public,-0.12,2,44,4,6,3,2,1,14 
7930,71,1,4,3,public,0.03,3,70,4,6,3,2,1,14 
7930,73,2,4,1,public,-0.12,3,33,4,6,3,2,1,14 
7930,81,2,4,2,public,1.05,5,70,4,6,3,2,1,14 
7930,83,2,4,1,public,0.29,3,54,4,6,3,2,1,14 
7930,90,1,4,1,public,-0.34,2,37,4,6,3,2,1,14 
7930,97,2,4,1,public,0.95,5,41,4,6,3,2,1,14 
24725,1,1,4,1,public,-1.67,2,31,4,2,3,3,0,18 
24725,5,1,4,0,public,-0.52,2,39,4,2,3,3,0,18 
24725,6,2,4,1,public,-0.45,2,48,4,2,3,3,0,18 
24725,7,1,4,1,public,-1.1,1,34,4,2,3,3,0,18 
24725,9,1,4,0,public,-2.04,1,33,4,2,3,3,0,18 
24725,10,1,4,1,public,0.06,3,47,4,2,3,3,0,18 
24725,13,2,4,0,public,-0.07,3,40,4,2,3,3,0,18 
24725,14,2,4,1,public,-1.21,1,31,4,2,3,3,0,18 
24725,16,1,4,2,public,-1.96,1,36,4,2,3,3,0,18 
24725,28,2,4,1,public,-0.38,2,37,4,2,3,3,0,18 
24725,30,2,4,5,public,-0.48,3,62,4,2,3,3,0,18 
24725,31,1,4,1,public,-1.05,2,41,4,2,3,3,0,18 
24725,37,2,4,1,public,-1.54,2,41,4,2,3,3,0,18 
24725,39,2,4,1,public,-0.14,2,37,4,2,3,3,0,18 
24725,51,2,4,1,public,0.92,5,43,4,2,3,3,0,18 
24725,54,2,4,2,public,-1.28,1,40,4,2,3,3,0,18 
24725,65,1,4,1,public,-1.31,1,42,4,2,3,3,0,18 
24725,68,1,4,5,public,-0.02,3,64,4,2,3,3,0,18 
24725,78,2,4,4,public,-0.6,2,54,4,2,3,3,0,18 
24725,85,1,4,4,public,-0.13,3,65,4,2,3,3,0,18 
24725,88,1,2,1,public,-0.19,2,45,4,2,3,3,0,18 
24725,89,1,4,2,public,-0.26,3,48,4,2,3,3,0,18 
25456,1,2,4,0,public,0.44,3,62,4,2,3,3,1,12 
25456,4,2,4,2,public,-0.75,3,33,4,2,3,3,1,12 
25456,9,2,4,1,public,-0.89,2,53,4,2,3,3,1,12 
25456,13,1,4,1,public,0.48,4,43,4,2,3,3,1,12 
25456,19,2,4,0,public,-0.19,3,54,4,2,3,3,1,12 
25456,20,1,4,0,public,-0.2,3,60,4,2,3,3,1,12 
25456,29,1,4,2,public,0.05,3,58,4,2,3,3,1,12 
25456,48,2,4,2,public,-0.43,3,49,4,2,3,3,1,12 
25456,51,2,4,0,public,-0.14,3,49,4,2,3,3,1,12 
25456,60,1,4,1,public,0.3,3,53,4,2,3,3,1,12 
25456,61,1,4,1,public,-0.49,3,56,4,2,3,3,1,12 
25456,65,1,4,1,public,-0.71,3,58,4,2,3,3,1,12 
25456,66,1,4,0,public,-0.21,3,46,4,2,3,3,1,12 
25456,67,1,4,2,public,-0.21,2,32,4,2,3,3,1,12 
25456,68,2,4,0,public,1.08,5,60,4,2,3,3,1,12 
25456,69,1,4,1,public,-1.29,2,48,4,2,3,3,1,12 
25456,74,1,4,1,public,0.22,3,47,4,2,3,3,1,12 
25456,76,2,4,0,public,-0.56,3,52,4,2,3,3,1,12 
25456,78,1,4,1,public,-0.53,1,42,4,2,3,3,1,12 
25456,84,1,4,1,public,0.23,3,58,4,2,3,3,1,12 
25456,97,2,4,0,public,-0.67,1,41,4,2,3,3,1,12 
25456,99,2,4,2,public,0.14,3,43,4,2,3,3,1,12 
25642,7,1,2,1,public,-0.06,3,42,4,4,1,3,6,11 
25642,9,2,2,1,public,-2.08,1,46,4,4,1,3,6,11 
25642,24,2,2,1,public,-1.25,3,43,4,4,1,3,6,11 
25642,33,2,2,1,public,-0.86,1,46,4,4,1,3,6,11 
25642,36,1,2,1,public,-0.9,1,47,4,4,1,3,6,11 
25642,37,2,2,1,public,-2.41,1,49,4,4,1,3,6,11 
25642,42,2,2,2,public,0.18,3,47,4,4,1,3,6,11 
25642,44,2,2,1,public,-1.41,1,44,4,4,1,3,6,11 
25642,45,2,2,3,public,-1.05,1,39,4,4,1,3,6,11 
25642,57,1,4,1,public,-1.35,3,41,4,4,1,3,6,11 
25642,59,2,2,0,public,-1.11,2,51,4,4,1,3,6,11 
25642,63,1,2,0,public,-1.35,1,45,4,4,1,3,6,11 
25642,67,1,2,0,public,-0.53,3,57,4,4,1,3,6,11 
25642,73,1,2,1,public,-1.29,2,47,4,4,1,3,6,11 
25642,76,1,2,2,public,-1.92,1,42,4,4,1,3,6,11 
25642,80,2,2,1,public,-0.97,3,47,4,4,1,3,6,11 
25642,83,2,2,3,public,-0.33,3,47,4,4,1,3,6,11 
